0,pb206_pb204,pb207_pb204,1,sr87_sr86,nd143_nd144
4.0,18.337,15.452,4.0,0.70353,0.513179
4.0,18.245,15.408,4.0,0.7036,0.51315
4.0,18.235,15.416,,,
4.0,18.5662,15.5177,,,
4.0,18.5583,15.511,,,
4.0,18.4771,15.4983,,,
4.0,18.4816,15.4993,,,
4.0,18.5668,15.5203,,,
4.0,18.5199,15.5056,,,
4.0,18.4928,15.5001,,,
2.0,17.363,15.104,,,
2.0,17.234,15.05,,,
2.0,17.334,15.09,,,
0.0,15.383,14.736,,,
0.0,15.968,14.823,,,
0.0,15.678,14.755,,,
2.0,17.11,15.043,,,
0.0,16.897,14.945,,,
0.0,16.331,15.227,,,
0.0,16.374,15.312,,,
5.0,19.1324,15.6208,4.0,0.703856,0.512831
5.0,19.1149,15.6166,4.0,0.703824,0.512846
5.0,19.0636,15.6067,4.0,0.703938,0.512834
5.0,19.0736,15.6219,4.0,0.703933,0.512838
5.0,19.0738,15.6074,4.0,0.70388,0.512868
5.0,19.0702,15.6198,4.0,0.703962,0.512834
4.0,18.554,15.586,3.0,0.70456,0.51279
5.0,19.139,15.618,4.0,0.70381,0.51284
4.0,18.6854,15.5824,4.0,0.70363,0.512925
4.0,18.651,15.558,4.0,0.7036,0.51289
4.0,18.689,15.555,4.0,0.703711,0.512878
5.0,18.766,15.567,4.0,0.703649,0.512883
4.0,18.705,15.559,4.0,0.7036427,0.5129031
4.0,18.713,15.573,4.0,0.703723,0.512857
4.0,18.621,15.57,4.0,0.703765,0.512876
4.0,18.694,15.56,4.0,0.703726,0.51288
4.0,18.692,15.557,4.0,0.70373,0.512893
4.0,18.679,15.552,4.0,0.703715,0.512852
4.0,18.684,15.549,4.0,0.70374,0.512858
5.0,18.89616667,15.67383333,3.0,0.704698833,0.512709667
5.0,18.808,15.6214,4.0,0.70382,0.51282
5.0,18.8957,15.6739,3.0,0.70455,0.51273
5.0,18.759,15.718,3.0,0.70549,0.51262
5.0,19.325,15.66,4.0,0.70369,0.51284
5.0,19.257,15.64,4.0,0.70335,0.51291
5.0,19.0179,15.6154,4.0,0.703484,0.512856
5.0,19.1304,15.5946,4.0,0.703379,0.512881
5.0,19.0315,15.6162,4.0,0.703687,0.512863
5.0,18.8727,15.6357,3.0,0.704303,0.512657
5.0,18.8319,15.6057,4.0,0.703722,0.512816
5.0,18.9893,15.5936,4.0,0.703726,0.512864
5.0,18.9476,15.628,4.0,0.704063,0.512794
5.0,18.8303,15.6849,2.0,0.705651,0.512539
5.0,18.9463,15.6301,3.0,0.704308,0.512804
5.0,19.0163,15.667,4.0,0.703724,0.512836
5.0,18.8679,15.5934,4.0,0.70375,0.512836
5.0,18.808,15.725,3.0,0.704415,0.512699
5.0,18.759,15.718,3.0,0.70549,0.512628
5.0,18.817,15.698,,,
5.0,19.325,15.66,4.0,0.70369,0.51286
5.0,19.176,15.683,4.0,0.70349,0.51275
5.0,19.257,15.64,4.0,0.703353,0.51291
5.0,19.0359,15.6628,4.0,0.703925,0.512819
5.0,18.9888,15.6657,3.0,0.704489,0.512822
5.0,18.9001,15.6362,3.0,0.705018,0.512698
5.0,18.8842,15.6392,3.0,0.705414,0.512684
5.0,18.8645,15.658,3.0,0.7052,0.512714
4.0,18.60305,15.62532,2.0,0.705411,0.512569
5.0,18.71716,15.63225,3.0,0.705022,0.512709
4.0,18.58548,15.61542,2.0,0.70557,0.512627
4.0,18.71149,15.62422,3.0,0.704604,0.512609
5.0,18.871,15.661,3.0,0.704575,0.512894
5.0,18.958,15.673,3.0,0.705445,0.512602
5.0,19.138,15.672,2.0,0.706048,0.512693
5.0,18.967,15.694,3.0,0.705378,0.512583
5.0,19.108,15.737,2.0,0.707758,0.512645
5.0,18.87,15.688,2.0,0.70559,0.512633
5.0,18.687,15.698,2.0,0.706346,0.512492
5.0,18.943,15.715,2.0,0.70621,0.512435
5.0,18.988,15.68,2.0,0.70567,0.512613
5.0,18.93525,15.7046,2.0,0.72404,0.51235
5.0,18.953,15.721,2.0,0.707644,0.512379
4.0,18.458,15.582,2.0,0.70593,0.512464
4.0,18.672,15.599,3.0,0.70447,0.51268
4.0,18.6816,15.59654,3.0,0.704528,0.512809
4.0,18.564,15.581,3.0,0.705312,0.512686
4.0,18.44,15.53,3.0,0.705013,0.512735
4.0,18.7046,15.6146,4.0,0.704135,0.512905
5.0,18.9354,15.6251,4.0,0.704136,0.512877
5.0,19.0079,15.6302,4.0,0.704163,0.512884
5.0,18.9484,15.6248,3.0,0.704197,0.512874
5.0,19.0135,15.6287,3.0,0.704206,0.512845
5.0,19.0476,15.6311,4.0,0.704145,0.512857
5.0,18.9248,15.6126,3.0,0.704246,0.512845
5.0,19.1137,15.6521,3.0,0.704768,0.512807
5.0,19.0247,15.6172,4.0,0.70408,0.512882
5.0,19.1182,15.6325,3.0,0.704346,0.512864
5.0,19.0396,15.618,4.0,0.704044,0.512886
4.0,18.582,15.594,4.0,0.70361,0.512865
5.0,18.906,15.621,3.0,0.70505,0.512613
5.0,18.78,15.638,,,
5.0,18.95,15.64,2.0,0.705577,0.512621
5.0,19.207,15.701,2.0,0.708352,0.512241
5.0,19.02,15.67,2.0,0.705653,0.512598
5.0,18.96,15.65,3.0,0.705266,0.512592
5.0,18.91,15.67,2.0,0.706693,0.512457
5.0,18.88,15.66,2.0,0.705523,0.512561
3.0,18.06,15.62,2.0,0.705956,0.512366
3.0,18.0,15.57,2.0,0.705961,0.512359
4.0,18.434,15.614,3.0,0.705215,0.512921
4.0,18.438,15.609,3.0,0.705291,0.512922
4.0,18.55,15.6,3.0,0.705092,0.5128
5.0,19.069,15.621,3.0,0.704911,0.512845
4.0,18.588,15.649,3.0,0.705172,0.51268
4.0,18.52,15.62,3.0,0.706257,0.512997
4.0,18.49,15.59,3.0,0.705382,0.51283
5.0,19.09,15.635,4.0,0.70393,0.512876
5.0,19.09,15.635,4.0,0.70393,0.512876
5.0,19.0482466,15.61873148,4.0,0.703955485,0.512894296
4.0,18.695,15.634,4.0,0.704129,0.512739
5.0,18.767,15.623,4.0,0.703757,0.512842
5.0,18.856,15.656,4.0,0.703866,0.512804
