,sr87_sr86,nd143_nd144
23537,0.70505,0.51255
23544,0.704719,0.512674
23545,0.70419,0.512779
23546,0.704306,0.5128
23547,0.705301,0.512516
23548,0.705436,0.512571
23549,0.705688,0.512477
23550,0.704341,0.51273
23639,0.704687,0.512736
23642,0.703984,0.51287
23649,0.704274,0.512816
23652,0.704307,0.51284
23666,0.704036,0.512867
23672,0.704878,0.512819
23677,0.704791,0.512845
23678,0.704303,0.512843
23679,0.704033,0.512881
23684,0.704183,0.512892
23688,0.70498,0.51264
23696,0.704625,0.51254
23698,0.7066,0.51228
23702,0.70465,0.512803
23704,0.704275,0.512916
23705,0.703874,0.512798
23706,0.703473,0.512825
23707,0.706776,0.51228
23708,0.704023,0.512784
23709,0.703814,0.512804
23710,0.704128,0.512738
23711,0.704157,0.512762
23712,0.704192,0.512742
23713,0.704205,0.512724
23714,0.704152,0.512746
23715,0.7049,0.512234
23716,0.7047,0.512345
23719,0.703624,0.512876
23720,0.703818,0.512831
23721,0.703494,0.51297
23730,0.703481,0.512937
23731,0.703325,0.512919
23743,0.703833,0.512845
23759,0.70357,0.51298
23760,0.703601,0.512908
23761,0.703674,0.512921
23762,0.703742,0.512903
23764,0.703745,0.512905
23773,0.703512558,0.513010274
23774,0.704264257,0.512853714
23775,0.703761265,0.513013402
23776,0.703821043,0.513012306
23777,0.703646043,0.513006908
23788,0.704071,0.512432
23789,0.704265,0.512513
23791,0.7045,0.512831
23793,0.70419,0.512768
23796,0.70429,0.512887
23797,0.70623,0.512924
23798,0.70383,0.512845
23800,0.70525,0.512911
23801,0.70412,0.512782
23802,0.70438,0.512794
23805,0.70443,0.512894
23808,0.703829,0.512915
23809,0.703895,0.512924
23810,0.703731,0.512928
23815,0.703755,0.512932
23816,0.708392,0.512478
23818,0.703954,0.512872
23819,0.703988,0.512864
23820,0.703924,0.512863
23830,0.705218,0.512863
23833,0.706287,0.512734
23834,0.704761,0.512679
23836,0.705408,0.512794
23838,0.703418,0.512943
23839,0.703262,0.512813
23840,0.703253,0.513021
23841,0.703101,0.513038
23842,0.706635,0.512914
23843,0.703642,0.512886
23844,0.703571,0.512736
23845,0.704624,0.512949
23846,0.703722,0.512892
23847,0.703581,0.512932
23848,0.703471,0.513035857
23849,0.703419,0.512909
23850,0.703993,0.512851
23851,0.704352,0.512934
23852,0.703775,0.512972
23853,0.703645,0.512916
23872,0.704441,0.512827
23874,0.70368,0.512858
23876,0.70354,0.512906
23877,0.7036,0.512872
23878,0.70379,0.512802
23880,0.70367,0.512884
23881,0.70367,0.512888
23882,0.70368,0.512869
23883,0.70443,0.512907
23884,0.70389,0.512863
23885,0.70377,0.512852
23886,0.70395,0.512906
23887,0.70352,0.512867
23888,0.704691,0.512828
23890,0.70462,0.512784
23891,0.704317,0.512763
23892,0.704309,0.512777
23893,0.704607,0.512781
24053,0.702909,0.513102
24054,0.7034,0.512911
24061,0.703234,0.513019
24062,0.704437,0.512077
24063,0.70471,0.51226
24065,0.703348,0.512914
24066,0.703405,0.513658
24069,0.704282,0.512694
24070,0.704708,0.513056
24071,0.703266,0.513102
24089,0.703779,0.512914
24092,0.703803,0.512913
24105,0.704716,0.512746
24118,0.70473,0.5128
24119,0.7038,0.5129
24120,0.703749,0.512948
24122,0.703563,0.512946
24123,0.703564,0.512917
24124,0.70365,0.512939
24125,0.703531,0.512939
24126,0.703954,0.512826
24128,0.704393,0.512723
24129,0.703604,0.512942
24130,0.70417,0.512958
24131,0.703611,0.512914
24132,0.703368,0.51296
24133,0.703435,0.512989
24134,0.704007,0.512825
24135,0.70467,0.512725
24137,0.704209,0.512795
24138,0.704412,0.512776
24139,0.705491,0.51266
24140,0.70391,0.512889
24141,0.703627,0.512979
24143,0.703673,0.512976
24147,0.706621,0.512908
24149,0.706757,0.512748
24156,0.707086,0.51198
24201,0.704689,0.512694
24207,0.707136,0.511687
24213,0.704708,0.51284
24267,0.70383,0.513162
24268,0.70475,0.512746
24269,0.70378,0.513182
24270,0.70353,0.513182
24272,0.70374,0.513217
24278,0.703965,0.513023
24279,0.702684,0.513363
24280,0.703801,0.512991
24281,0.704217,0.512538
24282,0.703583,0.51296
24283,0.702609,0.513495
24299,0.705637,0.512981
24300,0.708734,0.51439
24301,0.707806,0.511778
24302,0.710714,0.511235
24303,0.711305,0.511392
24304,0.705618,0.512609
24305,0.705997,0.5123
24306,0.706104,0.512543
24307,0.706167,0.512892
24308,0.70658,0.513032
24309,0.706548,0.512996
24316,0.703232,0.513154
24318,0.704442,0.513185
24319,0.704369,0.513068
24320,0.703709,0.513033
24321,0.704585,0.512921
24323,0.703337,0.513294
24324,0.703889,0.51328
24325,0.703396,0.513025
24327,0.705446,0.512963
24329,0.704485,0.513149
24330,0.704515,0.513127
24335,0.70374,0.51322
24337,0.70345,0.51288
24338,0.70383,0.51316
24339,0.70378,0.51294
24340,0.70353,0.51318
24341,0.70473,0.51275
24342,0.70374,0.51282
24417,0.70639,0.511936
24418,0.70497,0.51268
24419,0.70417,0.51289
24420,0.70494,0.51275
24466,0.705092,0.512554
24467,0.705049,0.512656
24468,0.704764,0.512731
24469,0.705154,0.512651
24470,0.705037,0.512757
24471,0.705355,0.512583
24472,0.70498,0.512562
24473,0.704621,0.512608
24474,0.705357,0.512605
24475,0.704625,0.512631
24476,0.705108,0.512599
24477,0.704729,0.512627
24478,0.704191,0.512878
24479,0.705517,0.512579
24480,0.70465173,0.51276314
24481,0.70412658,0.51299622
24482,0.70407914,0.51290105
24483,0.705906,0.512886
24484,0.705863,0.512706
24485,0.704591,0.512973
24492,0.703828,0.512875
24493,0.70817,0.512923
24495,0.704754,0.512968
24496,0.704609,0.512962
24497,0.704552,0.512967
24498,0.704076,0.512779
24513,0.70417,0.5128
24518,0.704457,0.512704
24519,0.70443,0.512734
24520,0.704456,0.512722
24521,0.704296,0.512804
24522,0.703983,0.512926
24523,0.7041,0.512944
24524,0.704402,0.512731
24525,0.704583,0.512771
24526,0.704018,0.512927
24527,0.704556,0.512726
24528,0.704417,0.512715
24543,0.70514387,0.51239586
24544,0.70516878,0.51245193
24548,0.705,0.512497
24570,0.70512795,0.51245797
24572,0.704251,0.512803
24574,0.704425,0.512807
24575,0.70477,0.5126713
24576,0.704439,0.512803
24577,0.704482,0.512795
24578,0.705569,0.512741
24579,0.703528,0.512914
24581,0.705367,0.512738
24582,0.704496,0.512799
24583,0.705037,0.512772
24588,0.704769,0.512493
24595,0.704782,0.512596
24596,0.704766,0.512511
24618,0.70521,0.512447
24620,0.70513,0.512468
24621,0.704228,0.512671
24622,0.704379,0.512725
24624,0.704234,0.512681
24625,0.704233,0.512679
24626,0.704416,0.512657
24627,0.704145,0.512791
24628,0.704144,0.512789
24711,0.704136,0.512794
24712,0.704193,0.512791
24713,0.704189,0.512832
24714,0.704229,0.512906
24720,0.704418,0.512803
24723,0.704556,0.512869
24726,0.704266,0.512849
24727,0.70409,0.51277
24730,0.704128,0.512777
24735,0.7044,0.512876
24736,0.70438,0.512881
24739,0.704133,0.512806
24744,0.704668,0.512831
24749,0.703822,0.51293
24750,0.704191,0.512858
24751,0.704062,0.512891
24753,0.704179,0.512876
24757,0.70402,0.512889
24760,0.704261,0.512845
24767,0.7043,0.5129
24768,0.7045,0.5128
24771,0.7045,0.5129
24772,0.7043,0.5129
24773,0.7043,0.5129
24774,0.7041,0.5129
24775,0.7043,0.5129
24777,0.7041,0.5129
24778,0.704,0.5129
24782,0.7043,0.5129
24783,0.7044,0.5129
24785,0.7045,0.5129
24786,0.7045,0.5129
24788,0.7039,0.513
24789,0.7042,0.5129
24799,0.70407023,0.512920461
24800,0.70411271,0.51292926
24804,0.70514438,0.51290006
24807,0.70529239,0.51296795
24808,0.70433686,0.51293064
24810,0.70432135,0.51288406
24814,0.70381218,0.51295537
24816,0.704375,0.512895
24817,0.70418,0.5129
24818,0.704213,0.512724
24819,0.704414,0.512791
24821,0.7048,0.512819
24822,0.703901,0.512881
24824,0.704268,0.512875
24827,0.706541,0.512889
24828,0.703928,0.512819
24829,0.703829,0.51287
24831,0.70356,0.512885
24834,0.703486,0.51292
24836,0.70348,0.512975
24837,0.703601,0.512949
24839,0.704172,0.512899
24840,0.704103,0.512812
24843,0.7036,0.5129
24844,0.7035,0.5129
24846,0.7037,0.5129
24848,0.7036,0.5129
24850,0.7037,0.5129
24869,0.703654,0.512887
24874,0.70536517,0.5124633
24875,0.7049893,0.51271492
24876,0.70511479,0.51279429
24877,0.705366,0.51248911
24878,0.704714,0.51268735
24879,0.704731,0.512716
24883,0.704979,0.512769
24884,0.704704,0.51271
24886,0.704343,0.512778
24892,0.705841,0.51288
24894,0.705938,0.512887
24902,0.7081,0.512751
24903,0.7057,0.512051
24904,0.7058,0.512694
24905,0.7062,0.512495
24906,0.706,0.512814
24911,0.703833,0.512954
24912,0.704083,0.512804
24916,0.704606,0.512707
24917,0.704306,0.512419
24920,0.703742,0.512837
24923,0.703835,0.51289
24930,0.70343,0.512927
24933,0.70437,0.51262
24935,0.70343,0.51293
24936,0.70354,0.51927
24937,0.7042,0.5128
24938,0.704993,0.512475
24955,0.703418,0.512985
24956,0.703438,0.512975
24957,0.703393,0.512985
24958,0.703284,0.512983
24959,0.703633,0.512899
24960,0.7044,0.512615
24961,0.703453,0.512966
24962,0.704725,0.512558
24963,0.704246,0.512744
24964,0.703768,0.512915
24972,0.703396,0.512935
24973,0.703315,0.512969
24982,0.704123,0.512842
24994,0.702578,0.513331
24995,0.702279,0.513311
24997,0.702789,0.513219
24998,0.703275,0.512956
24999,0.703997,0.512902
25000,0.702701,0.513307
25001,0.702775,0.512874
25011,0.703937,0.512823
25019,0.704125,0.512806
25020,0.703346,0.512977
25021,0.704062,0.512813
25022,0.70346,0.512985
25023,0.704124,0.512814
25024,0.704058,0.512813
25025,0.704138,0.51281
25026,0.703507,0.512971
25027,0.704116,0.512798
25028,0.703333,0.512976
25029,0.703712,0.51283
25030,0.703742,0.512815
25038,0.70388,0.513002
25104,0.704482,0.512531
25105,0.704498,0.512525
25108,0.705018,0.512239
25109,0.704009,0.512671
25110,0.704132,0.512657
25111,0.70427,0.512554
25118,0.704316,0.512648
25130,0.70368,0.512835
25132,0.703816,0.513011
25137,0.703656,0.512985
25138,0.704042,0.512753
25142,0.704561,0.513055
25143,0.703549,0.512976
25145,0.703664,0.512909
25146,0.70317,0.513037
25147,0.70351,0.51296
25151,0.704051,0.512877
25153,0.703972,0.51283
25166,0.702875,0.51322
25167,0.703318,0.513094
25168,0.702902,0.513305
25169,0.702269,0.513267
25170,0.702444,0.512719
25171,0.70383,0.514124
25172,0.704587,0.513226
25173,0.703276,0.513402
25174,0.702331,0.513451
25175,0.702338,0.513428
25178,0.70403,0.512822
25179,0.70456,0.512713
25183,0.703161,0.512947
25184,0.703926,0.512785
25185,0.703667,0.51308
25187,0.703898,0.513029
25188,0.703547,0.512909
25189,0.703913,0.512972
25195,0.70414,0.512848
25200,0.70489,0.512578
25207,0.704287,0.512619
25232,0.704563,0.512684
25233,0.704763,0.512714
25234,0.704572,0.512668
25235,0.704533,0.512675
25236,0.70459,0.512695
25237,0.704417,0.512706
25238,0.704481,0.512691
25241,0.704467,0.512665
25242,0.704443,0.512674
25243,0.704488,0.512663
25246,0.70421,0.512921
25247,0.70389,0.512937
25279,0.703319,0.512893
25281,0.703089,0.512882
25290,0.703092,0.513251
25293,0.703806,0.512917
25294,0.703771,0.512878
25295,0.702979,0.513049
25297,0.704967,0.512749
25299,0.707004,0.512579
25300,0.702649,0.513377
25303,0.703506,0.512941
25304,0.70374,0.512858
25306,0.704923,0.512791
25311,0.703065,0.513482
25314,0.70384,0.512556
25318,0.703143,0.513082
25319,0.705219,0.512837
25320,0.703746,0.512891
25325,0.703479,0.512929
25334,0.703726,0.512896
25336,0.703588,0.512872
25340,0.70365,0.512858
25341,0.703501,0.51285
25344,0.703432,0.512862
25349,0.703399,0.512868
25350,0.703349,0.512837
25392,0.705008,0.512599
25393,0.705181,0.512513
25394,0.705319,0.51255
25395,0.705039,0.512555
25397,0.704926,0.512642
25398,0.705114,0.512583
25399,0.705531,0.512554
25400,0.704985,0.512555
25401,0.705078,0.512537
25404,0.70495,0.51277
25405,0.70513,0.51256
25406,0.70495,0.5125
25410,0.704956,0.512582
25414,0.70492,0.512608
25415,0.70433,0.512663
25416,0.7037,0.512925
25417,0.7039,0.512833
25418,0.7041,0.512952
25426,0.705198,0.512716
25427,0.705012,0.512739
25428,0.705088,0.512629
25429,0.704758,0.512641
25430,0.70504,0.512728
25431,0.705004,0.512724
25432,0.704967,0.512743
25433,0.704907,0.512751
25434,0.704735,0.512702
25458,0.70244,0.513248
25460,0.70453,0.51278
25461,0.70443,0.51279
25462,0.7047,0.51265
25463,0.70474,0.51278
25464,0.70417,0.51283
25465,0.70446,0.512787
25466,0.70466,0.512787
25467,0.70452,0.512707
25468,0.70457,0.51274
25479,0.709091,0.511855
25480,0.708931,0.511896
25481,0.708659,0.511894
25482,0.704293,0.512756
25483,0.703359,0.512879
25484,0.70331,0.512872
25485,0.703305,0.512881
25486,0.704288,0.512763
25487,0.703327,0.512876
25488,0.704046,0.512758
25489,0.704265,0.512758
25490,0.704162,0.512743
25491,0.704134,0.51276
25492,0.70599,0.512526
25493,0.70577,0.512818
25495,0.70564,0.512694
25503,0.7041,0.51285
25504,0.70401,0.512835
25507,0.70346,0.512933
25509,0.70412,0.512621
25510,0.70327,0.512949
25511,0.70397,0.512825
25512,0.70325,0.512907
25513,0.70327,0.512908
25514,0.70324,0.512903
25525,0.704273,0.512644
25526,0.704809,0.512721
25527,0.708697,0.512517
25528,0.704255,0.5127
25529,0.70459,0.51248
25530,0.704062,0.512695
25531,0.703908,0.512765
25532,0.704078,0.512701
25559,0.703782,0.512592
25560,0.703687,0.512612
25561,0.704023,0.512617
25562,0.703969,0.512629
25563,0.703734,0.512623
25564,0.703695,0.5126
25565,0.703611,0.512939
25571,0.703351,0.512936
25584,0.704138,0.512824
25585,0.70382,0.512735
25587,0.703426,0.512936
25588,0.703956,0.51263
25589,0.704459,0.512726
25590,0.704035,0.512633
25591,0.703961,0.512628
25592,0.704064,0.512741
25604,0.703613,0.51277
25605,0.703633,0.512774
25606,0.70349,0.512714
25607,0.703513,0.512715
25608,0.703405,0.512835
25609,0.703346,0.512847
25610,0.703413,0.512824
25619,0.70394,0.512824
25620,0.703907,0.512812
25621,0.703811,0.512826
25622,0.703737,0.512821
25623,0.703561,0.512818
25624,0.703549,0.512764
25644,0.703527,0.512818
25645,0.703276,0.512872
25646,0.703775,0.512711
25647,0.703677,0.512826
25648,0.703846,0.512795
25704,0.704397,0.512635
25705,0.704306,0.512641
25706,0.704437,0.512565
25707,0.703288,0.512899
25715,0.70417,0.512958
25716,0.703531,0.512939
25717,0.703564,0.512917
25719,0.704633,0.512708
25720,0.704308,0.512766
25721,0.70358,0.512922
25722,0.703749,0.512948
25730,0.70417,0.512958
25731,0.704,0.51276
25732,0.704615,0.51246
25733,0.704947,0.512513
25750,0.703827,0.512847
25751,0.70384,0.512819
25752,0.703909,0.512895
25753,0.705385,0.51254
25754,0.705222,0.512427
25755,0.704163,0.512733
25756,0.704593,0.512708
25757,0.704268,0.51275
25758,0.70388,0.512731
25759,0.704254,0.512747
25760,0.704269,0.512638
25761,0.704215,0.512658
25762,0.704213,0.512651
25763,0.704148,0.512821
25764,0.703826,0.512796
25765,0.703906,0.512731
25766,0.704231,0.5126
25767,0.704322,0.512634
25768,0.704461,0.512541
25777,0.707791,0.512339
25779,0.707848,0.512186
25781,0.707818,0.512346
25783,0.70778,0.512336
25784,0.707804,0.512337
25798,0.706126,0.512579
25799,0.706516,0.512602
25800,0.706289,0.512489
25801,0.706614,0.512457
25814,0.705174,0.512675
25815,0.70494,0.512847
25817,0.704137,0.512855
25818,0.704038,0.512863
25819,0.705041,0.512663
25825,0.709443,0.512262
25827,0.710107,0.512875
25828,0.718783,0.511969
25829,0.715817,0.511287
25831,0.706538,0.512529
25832,0.708243,0.512318
25833,0.707982,0.512307
25834,0.708249,0.512213
25835,0.708862,0.512106
25836,0.708819,0.512326
25837,0.706689,0.512442
25839,0.704682,0.512696
25840,0.704798,0.512609
25845,0.707816,0.512156
25847,0.706101,0.512892
25848,0.705745,0.512854
25849,0.705815,0.512886
25851,0.706168,0.512826
25863,0.70591,0.512887
25865,0.706888,0.512911
25868,0.707244,0.512871
25870,0.706414,0.512856
25873,0.70485,0.512778
25874,0.705002,0.512777
25875,0.70516,0.512687
25876,0.70506,0.51273
25877,0.705,0.512712
25878,0.70549,0.512665
25879,0.70475,0.512682
25880,0.70512,0.512676
25885,0.704054,0.512829
25886,0.704302,0.512799
25887,0.705841,0.512635
25888,0.705341,0.512626
25890,0.708556,0.512522
25891,0.703779,0.512814
25897,0.70405,0.51294
25900,0.707351,0.512443
25901,0.710139,0.512435
25932,0.707842,0.512124
25934,0.7031825,0.51302825
25939,0.70312825,0.51305
25941,0.703797375,0.513009375
25942,0.70374075,0.5128645
25977,0.705722,0.512533
25978,0.710449,0.512461
25979,0.705761,0.512573
25980,0.706279,0.51248
25981,0.706297,0.512481
25982,0.706881,0.512485
25983,0.706842,0.512492
25992,0.708138,0.512524
25993,0.704329,0.512571
25994,0.704917,0.512564
25996,0.70691,0.51242
25997,0.704714,0.512685
25998,0.705617,0.512576
25999,0.705107,0.512486
26000,0.708026,0.512548
26001,0.707883,0.512556
26003,0.707304,0.512493
26004,0.704768,0.512574
26005,0.707844,0.512351
26006,0.706236,0.512516
26007,0.706699,0.512577
26008,0.704635,0.512763
26009,0.707016,0.512534
26010,0.706648,0.512504
26011,0.706179,0.512486
26012,0.705549,0.512628
26013,0.708046,0.512428
26014,0.705534,0.512637
26015,0.706897,0.512605
26016,0.708243,0.512377
26017,0.706948,0.512587
26018,0.705538,0.512652
26019,0.708145,0.512402
26021,0.708252,0.512443
26023,0.705749,0.512521
26046,0.707146,0.512463
26047,0.706911,0.512497
26048,0.70595,0.512604
26049,0.70803,0.512456
26054,0.709274,0.512017
26056,0.709781,0.512038
26059,0.703869,0.512916
26060,0.703677,0.51299
26062,0.703783,0.512886
26063,0.704229,0.512926
26064,0.70419,0.512855
26065,0.704512,0.512832
26066,0.704236,0.512879
26067,0.704223,0.512883
26068,0.704597,0.512932
26069,0.703806,0.512833
26073,0.70414,0.512892
26075,0.703557,0.51289
26076,0.703678,0.512902
26084,0.704235,0.512873
26086,0.703736,0.51291
26089,0.703885,0.512915
26090,0.703704,0.512864
26092,0.703264,0.512961
26109,0.703613,0.512913
26110,0.703252,0.512976
26111,0.703271,0.512973
26112,0.703598,0.512903
26113,0.703618,0.512897
26124,0.704362,0.512742
26138,0.70525,0.512587
26140,0.70477,0.512649
26144,0.70478,0.512652
26145,0.70486,0.512651
26167,0.70526,0.51265
26176,0.70468,0.512579
26177,0.704672,0.512606
26182,0.705076,0.51257
26189,0.70443,0.512677
26190,0.70443,0.512684
26192,0.704451,0.512663
26271,0.704542,0.512784
26275,0.704118,0.512832
26276,0.704991,0.51282
26283,0.704189,0.512765
26290,0.704559,0.512733
26308,0.704147,0.512803
26314,0.705332,0.512727
26342,0.704192,0.512781
26352,0.704177,0.512783
26358,0.704398,0.512744
26367,0.705011,0.51274
26368,0.704641,0.512725
26374,0.704449,0.512746
26382,0.704429,0.512761
26446,0.70417,0.512819
26447,0.70443,0.512867
26468,0.704128,0.512789
26473,0.704494,0.512741
26479,0.704204,0.512787
26480,0.704102,0.512826
26482,0.704511,0.512758
26487,0.704858,0.512761
26512,0.704368,0.512809
26513,0.704316,0.512818
26550,0.70535,0.512697
26552,0.704757,0.512729
26553,0.704886,0.51272
26555,0.704223,0.512759
26558,0.705305,0.512679
26559,0.704928,0.512756
26563,0.704142,0.512795
26568,0.704202,0.51281
26573,0.704493,0.512795
26581,0.704062,0.512832
26583,0.704074,0.512814
26589,0.704244,0.512805
26598,0.70424,0.512796
26599,0.70421,0.512815
26601,0.704338,0.512811
26605,0.704627,0.512792
26606,0.704713,0.512808
26607,0.704716,0.512786
26609,0.704605,0.512805
26611,0.704582,0.51266
26612,0.704482,0.512693
26613,0.704818,0.512595
26615,0.704513,0.512685
26616,0.704531,0.512651
26617,0.704882,0.512529
26618,0.704739,0.512524
26619,0.704843,0.51257
26620,0.704788,0.512554
26627,0.704691,0.512566
26628,0.705,0.512558
26630,0.70522,0.512551
26666,0.70492,0.512615
26719,0.704239,0.512486
26720,0.704377,0.512539
26721,0.704037,0.512615
26722,0.704622,0.512797
26723,0.704446,0.512525
26724,0.70464,0.512135
26725,0.704526,0.512115
26726,0.704139,0.512662
26727,0.704226,0.512359
26728,0.704116,0.512459
26729,0.704479,0.512655
26730,0.704518,0.512647
26731,0.704215,0.51261
26732,0.704387,0.512702
26733,0.704154,0.512706
26734,0.704637,0.512329
26735,0.704138,0.512742
26736,0.703977,0.512663
26737,0.70438,0.512448
26738,0.70431,0.512594
26739,0.704243,0.512491
26740,0.703944,0.512744
26741,0.704116,0.512557
26742,0.704204,0.512525
26743,0.704106,0.512538
26751,0.704711,0.512377
26754,0.704491,0.512303
26758,0.704464,0.512413
26761,0.704504,0.512418
26768,0.704605,0.512328
26769,0.704814,0.512308
26770,0.704581,0.512395
26773,0.704384,0.512309
26774,0.703999,0.512544
26775,0.703903,0.512556
26777,0.704228,0.512742
26778,0.704207,0.512789
26800,0.704091,0.512609
26809,0.704658,0.51265
26815,0.704549,0.512628
26829,0.704307,0.512444
26840,0.704145,0.512652
26852,0.704283,0.512632
26876,0.704211,0.512784
26886,0.706224,0.512589
26887,0.705819,0.512654
26889,0.705067,0.512715
26891,0.704227,0.512861
26892,0.704578,0.512563
26894,0.704189,0.512463
26898,0.704453,0.512506
26901,0.70445,0.512521
26905,0.705878,0.5126
26906,0.705172,0.512654
26908,0.705831,0.512568
26909,0.704448,0.51245
26918,0.704254,0.512512
26924,0.704312,0.512498
26925,0.703745,0.512846
26931,0.703951,0.512795
26932,0.703778,0.512806
26934,0.704272,0.512794
26991,0.70456,0.512748
26992,0.704601,0.512746
26993,0.704312,0.51276
26995,0.704479,0.512651
26997,0.704345,0.512852
27011,0.704864,0.512556
27013,0.705304,0.512646
27014,0.704314,0.512705
27015,0.704796,0.512555
27017,0.705251,0.512614
27019,0.704599,0.512614
27020,0.704307,0.512714
27033,0.704458,0.512702
27117,0.70391,0.51289
27118,0.70395,0.51295
27123,0.7037,0.51295
27124,0.70399,0.51295
27142,0.703979,0.512708
27144,0.703841,0.512714
27146,0.70396,0.51272
27149,0.70455,0.51295
27150,0.70374,0.51296
27151,0.70542,0.5128
27152,0.70385,0.51296
27153,0.70615,0.51276
27154,0.70657,0.51277
27156,0.70589,0.51293
27157,0.70578,0.51276
27159,0.70618,0.51271
27167,0.70408,0.51295
27175,0.70385,0.51292
27182,0.70362,0.51291
27187,0.70363,0.51293
27213,0.70361,0.51293
27217,0.70365,0.51288
27221,0.7059,0.51254
27225,0.70359,0.51292
27226,0.70463,0.5128
27227,0.70504,0.51265
27228,0.70358,0.51294
27229,0.70362,0.51289
27245,0.70407,0.51283
27246,0.70416,0.51284
27264,0.70447,0.5128
27265,0.7045,0.51276
27266,0.70542,0.51264
27267,0.70551,0.51263
27268,0.70543,0.51266
27270,0.70551,0.51263
27279,0.703931,0.512887
27280,0.703935,0.512833
27281,0.703846,0.512919
27283,0.703831,0.512927
27284,0.703931,0.512887
27285,0.704242,0.512846
27286,0.703887,0.512875
27287,0.703935,0.512833
27288,0.703684,0.51287
27290,0.704358,0.512879
27291,0.703962,0.512938
27292,0.704336,0.512907
27293,0.703564,0.513026
27294,0.704135,0.512824
27295,0.703984,0.512882
27299,0.705318,0.512708
27300,0.704084,0.512819
27301,0.703774,0.512864
27302,0.704294,0.512902
27303,0.703832,0.512878
27304,0.703917,0.512859
27305,0.70414,0.51286
27306,0.704343,0.512776
27307,0.704831,0.512784
27308,0.704969,0.512715
27310,0.703999,0.51284
27311,0.704927,0.512731
27312,0.704164,0.512787
27313,0.705145,0.512777
27314,0.704809,0.512761
27315,0.703824,0.512832
27316,0.704002,0.512843
27317,0.704046,0.512854
27318,0.703952,0.51286
27319,0.703934,0.512848
27320,0.704028,0.512831
27321,0.706085,0.512625
27322,0.704957,0.512853
27323,0.704117,0.512773
27324,0.704348,0.512819
27325,0.704158,0.512798
27326,0.704282,0.512809
27328,0.706577,0.512291
27330,0.706684,0.512226
27331,0.706651,0.512231
27334,0.706586,0.512278
27337,0.707956,0.511761
27338,0.706539,0.512202
27340,0.70663,0.512297
27342,0.706642,0.512289
27344,0.707885,0.511809
27345,0.707694714,0.511788857
27346,0.70764,0.511682
27347,0.708121,0.511624
27348,0.70796,0.511611
27349,0.70782,0.511888
27350,0.707511,0.511833
27352,0.708802,0.51184
27363,0.706413,0.512331
27364,0.7067,0.512273
27366,0.706773,0.512332
27367,0.706213,0.512337
27369,0.706763,0.512318
27372,0.707417,0.51232
27377,0.7053,0.51269
27378,0.705641,0.512644
27379,0.707426,0.512524
27380,0.70428,0.512689
27386,0.70718,0.512379
27389,0.7033,0.512991
27390,0.7037,0.512987
27391,0.7056,0.512997
27392,0.704213,0.513
27393,0.703428,0.5129
27395,0.704087,0.5129
27396,0.703786,0.5129
27404,0.704195,0.5128
27412,0.703288,0.513
27413,0.70419,0.5129
27414,0.704244,0.5128
27415,0.70337,0.51301
27416,0.70365,0.51297
27417,0.70393,0.51293
27418,0.70317,0.513
27419,0.70356,0.51297
27420,0.70351,0.513
27421,0.70409,0.51288
27424,0.712339,0.512417
27425,0.707798,0.51251
27428,0.7051,0.51285
27429,0.711094,0.512356
27430,0.710507,0.512569
27431,0.70639,0.512849
27432,0.707929,0.512832
27433,0.706666,0.512821
27434,0.706597,0.512866
27435,0.705544,0.512793
27436,0.71164,0.51246
27437,0.709726,0.512714
27438,0.708826,0.512689
27439,0.710816,0.512815
27440,0.705549,0.512887
27441,0.708121,0.512399
27444,0.706269,0.511823
27445,0.706401,0.512164
27448,0.706091,0.51202
27449,0.706346,0.512018
27465,0.705984,0.511855
27466,0.706766,0.511856
27467,0.706931,0.511817
27468,0.706818,0.511853
27469,0.707216,0.511997
27470,0.707002,0.512046
27476,0.70409,0.512832
27477,0.70378,0.512938
27478,0.70409,0.51265
27497,0.704333,0.512815
27498,0.704335,0.512808
27499,0.704249,0.512792
27509,0.70616,0.512226
27510,0.705944,0.512235
27511,0.706368,0.512406
27512,0.704029,0.512908
27514,0.703949,0.512904
27515,0.703814,0.512907
27516,0.704339,0.512896
27518,0.704142,0.512826
27520,0.708422,0.512596
27522,0.70713,0.512559
27523,0.704166,0.512828
27524,0.708395,0.512577
27525,0.704244,0.512826
27528,0.708406,0.512583
27530,0.706115,0.512514
27531,0.705865,0.51253
27536,0.708002,0.512476
27537,0.708485,0.51263
27539,0.708817,0.51236
27541,0.707889,0.512372
27542,0.707834,0.512368
27544,0.704601,0.51288
27546,0.705016,0.51287
27548,0.708,0.512511
27549,0.70842,0.512628
27550,0.70483,0.512855
27552,0.709482,0.512504
27553,0.709581,0.512476
27554,0.708805,0.512565
27555,0.708255,0.512621
27556,0.708325,0.512631
27559,0.704522,0.512877
27562,0.703619,0.512966
27563,0.704645,0.512851
27565,0.705934,0.512547
27566,0.705856,0.512553
27567,0.703165,0.512896
27571,0.703386,0.512823
27572,0.709504,0.512494
27574,0.708426,0.512557
27575,0.709734,0.512486
27576,0.708707,0.512511
27578,0.70713,0.512573
27582,0.7035,0.512896
27583,0.703475,0.512872
27585,0.70349,0.512884
27586,0.704938,0.512818
27587,0.703977,0.512846
27588,0.706115,0.512514
27589,0.705865,0.51253
27590,0.703986,0.512859
27591,0.704076,0.512867
27592,0.703414,0.512814
27593,0.704076,0.512867
27594,0.703977,0.512846
27595,0.703986,0.512859
