,sr87_sr86,nd143_nd144
2871,0.704597,0.512755
2873,0.703964,0.51278
2878,0.70382,0.51282
2879,0.70455,0.51273
2880,0.70381,0.51282
2896,0.70549,0.51262
2898,0.70488,0.51264
2899,0.70369,0.51284
2900,0.70335,0.51291
2950,0.705008,0.512753
3014,0.70334,0.51286
3015,0.70383,0.51288
3033,0.704461,0.512832
3035,0.704657,0.512923
3043,0.746434,0.512434
3044,0.752703,0.512565
3045,0.777537,0.512428
3046,0.80068,0.512486
3047,0.792499,0.512494
3048,0.770758,0.512411
3051,0.733241,0.512517
3052,0.798735,0.512475
3053,0.842349,0.51246
3054,0.728635,0.512465
3055,0.728934,0.512414
3057,0.715709,0.512448
3058,0.720839,0.512395
3061,0.737164,0.512526
3062,0.717665,0.512611
3063,0.759878,0.512478
3064,0.730588,0.512569
3065,0.758585,0.51261
3066,0.726539,0.512577
3069,0.711881,0.512493
3070,0.736021,0.512519
3071,0.728967,0.512476
3073,0.824415,0.512692
3074,0.729471,0.512427
3189,0.70431,0.512887
3191,0.70393,0.512948
3195,0.703683,0.512878
3198,0.703484,0.512856
3205,0.703379,0.512881
3208,0.703687,0.512863
3225,0.703321,0.512916
3226,0.703303,0.51288
3227,0.704303,0.512657
3234,0.703494,0.51286
3239,0.70434,0.51277
3247,0.703767,0.51283
3258,0.705235,0.51267
3284,0.704466,0.512742
3287,0.703512,0.512883
3290,0.703822,0.512871
3292,0.703722,0.512816
3299,0.703726,0.512864
3302,0.704063,0.512794
3313,0.705651,0.512539
3320,0.704308,0.512804
3331,0.703724,0.512836
3337,0.70375,0.512836
3368,0.704415,0.512699
3373,0.70549,0.512628
3374,0.704883,0.51264
3384,0.70369,0.51286
3399,0.70349,0.51275
3401,0.7036,0.512751
3402,0.70478,0.51278
3410,0.703353,0.51291
3422,0.70542,0.51285
3430,0.703503,0.512878
3431,0.703564,0.512894
3432,0.703519,0.512884
3434,0.705827,0.512634
3444,0.703925,0.512819
3450,0.704489,0.512822
3453,0.7056,0.51269
3454,0.705705,0.512708
3460,0.705743,0.512676
3479,0.705018,0.512698
3480,0.705414,0.512684
3483,0.7052,0.512714
3493,0.705411,0.512569
3494,0.705022,0.512709
3498,0.70557,0.512627
3500,0.704604,0.512609
3503,0.705313,0.512628
3507,0.704871,0.512712
3508,0.704356,0.512786
3577,0.704575,0.512894
3586,0.7044,0.5128
3587,0.7042,0.5129
3590,0.705,0.5128
3591,0.7035,0.513
3593,0.704,0.5128
3597,0.7043,0.5128
3599,0.707244,0.51246
3601,0.707208,0.512462
3604,0.703376,0.512931
3611,0.703536,0.512945
3612,0.703241,0.51297
3616,0.703209,0.512931
3617,0.703295,0.512964
3619,0.703492,0.512908
3624,0.703409,0.512964
3648,0.70594,0.512596
3675,0.70754,0.512492
3676,0.707998,0.512439
3677,0.706277,0.512571
3678,0.704284,0.512734
3702,0.703332,0.512976
3717,0.70800127,0.5123866
3718,0.705445,0.512602
3726,0.70794114,0.512445
3727,0.706048,0.512693
3729,0.70782852,0.512441
3732,0.705378,0.512583
3739,0.7081158,0.512436
3746,0.707758,0.512645
3748,0.70559,0.512633
3751,0.706346,0.512492
3763,0.70621,0.512435
3766,0.70567,0.512613
3767,0.70787847,0.512417
3774,0.70813515,0.5124044
3775,0.704349,0.512697
3782,0.703108,0.512978
3783,0.703345,0.512927
3784,0.703103,0.512963
3788,0.72404,0.51235
3795,0.70508,0.51276
3807,0.708256,0.512453
3808,0.708248,0.512439
3814,0.70632,0.51258
3816,0.7057,0.5128
3825,0.707876,0.512431
3836,0.704881,0.512795
3837,0.704438,0.512742
3838,0.704035,0.512873
3839,0.70451,0.512758
3847,0.707644,0.512379
3849,0.707568,0.51246
3856,0.706151,0.512534
3857,0.706446,0.512509
3863,0.704168,0.512857
3865,0.704229,0.512845
3878,0.70593,0.512464
3883,0.70447,0.51268
3890,0.70487,0.512727
3891,0.704856,0.512696
3893,0.705809,0.512567
3897,0.705494,0.512629
3898,0.70588,0.512543
3899,0.705812,0.512564
3913,0.704528,0.512809
3919,0.705312,0.512686
3921,0.705013,0.512735
3924,0.704747,0.512795
3925,0.705486,0.512706
3926,0.704786,0.512806
3927,0.70502,0.512779
3928,0.70487,0.512794
3929,0.704879,0.512813
3930,0.704651,0.512808
3971,0.703898,0.512898
3972,0.703967,0.512877
3974,0.704127,0.512825
3976,0.704091,0.51284
3983,0.704165,0.51281
3985,0.704257,0.51283
4002,0.704135,0.512905
4004,0.704136,0.512877
4006,0.704163,0.512884
4008,0.704197,0.512874
4015,0.704775,0.512859
4016,0.704206,0.512845
4018,0.704145,0.512857
4022,0.704246,0.512845
4023,0.704768,0.512807
4025,0.70408,0.512882
4026,0.704346,0.512864
4027,0.704044,0.512886
4029,0.706304,0.51257
4063,0.70361,0.512865
4064,0.70363,0.51285
4073,0.7032,0.512887
4082,0.703201,0.512865
4083,0.703212,0.512874
4100,0.70505,0.512613
4101,0.70505,0.512613
4115,0.705577,0.512621
4140,0.708352,0.512241
4150,0.705653,0.512598
4151,0.705266,0.512592
4156,0.706693,0.512457
4157,0.705523,0.512561
4174,0.703762,0.51282
4175,0.703759,0.512823
4179,0.704188,0.512749
4180,0.703811,0.512809
4194,0.703441,0.512782
4196,0.703291,0.512794
4201,0.70619,0.512449
4204,0.705956,0.512366
4205,0.705961,0.512359
4208,0.704651,0.512796
4211,0.706876,0.512294
4227,0.705215,0.512921
4228,0.705291,0.512922
4230,0.705092,0.5128
4231,0.704911,0.512845
4245,0.704834,0.512783
4246,0.707874,0.512846
4247,0.706584,0.512854
4256,0.705844,0.512787
