,pb206_pb204,pb207_pb204
4871,18.308,15.599
4950,18.471,15.557
4957,18.453,15.59
4960,18.303,15.574
4966,18.267,15.538
4967,18.361,15.596
4969,18.383,15.586
4982,18.46,15.624
4983,18.433,15.598
4984,18.592,15.601
4985,18.3,15.629
4999,18.853,15.622
5002,18.714,15.632
5003,18.647,15.625
5015,18.686,15.611
5019,18.395,15.609
5021,18.282,15.596
5050,18.97,15.652
5051,18.945,15.637
5052,18.942,15.641
5105,19.17,15.659
5106,19.158,15.643
5107,18.871,15.631
5109,18.932,15.641
5113,18.922,15.649
5118,18.965,15.648
5121,18.79,15.596
5123,18.939,15.636
5124,19.015,15.655
5126,18.41519968,15.58331485
5127,18.52787289,15.58202332
5128,18.47372175,15.59729078
5129,18.51712348,15.58816493
5130,18.33257752,15.56645838
5131,18.45681583,15.58694384
5132,18.59075949,15.60387308
5133,18.54053839,15.59550194
5134,18.49540724,15.59108257
5135,18.51355466,15.58998533
5136,18.51906278,15.59028415
5137,18.38105428,15.57843559
5138,18.39590057,15.58138183
5139,18.41130483,15.57771331
5140,18.45889533,15.58360201
5141,18.37549841,15.5747872
5142,18.56262277,15.59618444
5143,18.32635889,15.57027171
5144,18.52990046,15.5929243
5145,18.56558721,15.60444384
5146,18.62412162,15.61215107
5199,18.566,15.605
5322,18.5688,15.6004
5323,18.516,15.5869
5324,18.3198,15.5898
5325,18.3922,15.5923
5326,18.4951,15.5907
5327,18.47941429,15.59075714
5328,18.3046,15.579
5329,18.5344,15.598
5348,18.547,15.59
5349,18.593,15.592
5351,18.485,15.57
5352,18.532,15.597
5354,18.53,15.581
5358,18.563,15.583
5359,18.435,15.569
5361,18.582,15.586
5374,18.62,15.61
5375,18.52,15.59
5487,18.551,15.567
5528,18.492,15.582
5548,18.5461,15.5958
5550,18.5873,15.6028
5551,18.591,15.593
5555,18.594,15.615
5570,18.629,15.603
5572,18.63169,15.60852891
5592,18.58465714,15.60894286
5601,18.542,15.577
5648,18.5662,15.6033
5650,18.549,15.591
5651,18.567,15.605
5652,18.557,15.602
5654,18.622,15.599
5657,18.56,15.596
5658,18.528,15.61
5665,18.575,15.58
5679,18.5789,15.6051
5717,18.549,15.525
5718,18.6123,15.6094
5719,18.5973,15.6074
5720,18.6118,15.6073
5721,18.55607749,15.6019262
5724,18.6148,15.6147
5727,18.56,15.59
5744,18.61230988,15.61201497
5745,18.60934506,15.60969428
5758,18.557,15.576
5759,18.486,15.571
5760,18.617,15.613
5777,18.516,15.57
5801,18.551,15.578
5802,18.576,15.594
5803,18.558,15.589
5807,18.583,15.594
5811,18.447,15.58
5812,18.457,15.58
5813,18.462,15.579
5835,18.553,15.603
5843,18.594,15.629
5846,18.567,15.626
5857,18.62050687,15.61171454
5913,18.5896,15.6078
5914,18.6145,15.6094
5920,18.581,15.593
5923,19.050024,15.635767
5924,18.8541,15.5922
5925,18.8053,15.5863
5926,18.91275,15.625737
5930,18.7788,15.7494
5932,18.54631,15.60614
5938,18.5624,15.5988
5939,18.5413,15.6
5940,18.507,15.601
5941,18.58946,15.61056
5942,18.5787,15.608
5943,18.5136,15.5958
5944,18.5852,15.5941
5945,18.5765,15.6041
5946,18.4843,15.6023
5947,18.508,15.585
5948,18.56,15.6043
5949,18.4916,15.6277
5950,18.4401,15.6255
5951,18.52,15.62
5964,19.27,15.64
5967,19.21,15.66
5972,19.37,15.66
5974,19.51,15.65
5999,19.31,15.64
6000,19.17,15.61
6003,19.44,15.62
6004,19.45,15.65
6016,18.45,15.6
6017,18.52,15.59
6018,18.29,15.53
6022,18.44,15.5051
6023,18.5136,15.4998
6024,21.1493,15.7403
6025,23.5184,15.8547
6026,23.024,15.8381
6027,19.3727,15.6027
6028,19.3988,15.5815
6029,19.6017,15.5859
6030,20.3402,15.6869
6031,19.4126,15.5939
6032,19.5812,15.5774
6033,18.3428,15.4996
6034,19.1677,15.635
6051,20.098,15.611
6052,18.6951,15.6235
6053,18.6443,15.5273
6054,18.16,15.61
6061,19.062,15.56225
6108,19.3,15.8
6132,18.778,15.641
6133,18.864,15.682
6198,19.3,15.699
6201,18.836,15.634
6204,18.675,15.637
6205,19.088,15.678
6207,19.149,15.689
6243,19.026,15.661
6249,19.153,15.68
6250,18.924,15.674
6328,19.049,15.652
6380,18.934,15.677
6382,18.917,15.695
6386,18.922,15.688
6388,18.94,15.675
6392,18.91,15.692
6393,18.899,15.681
6398,18.763,15.695
6436,18.939,15.674
6453,18.704,15.617
6454,18.762,15.665
