Data,Model,,,,,,Results,,,,
Threshold for features,Drop Sr-Nd,Input_size,Learning rate,Optimizer,Tolerance for early stopping,Regularization (weight_decay),train_acc,val_acc,Test_acc,Comment_recall&f1,
20,FALSE,26,0.001,Adam,50,1.00E-05,0.8096,0.7798,0.80433213,,
80,FALSE,55,0.001,Adam,50,1.00E-05,0.8094,0.7581,0.801444043,,
50,FALSE,46,0.001,Adam,50,1.00E-05,0.806,0.7783,0.797833935,,
50,FALSE,46,0.001,Adam,50,0,0.9451,0.9249,0.936462094,,
50,TRUE,44,0.001,Adam,50,0,0.7508,0.644,0.641877256,,
50,TRUE,44,0.001,Adam,50,1.00E-05,0.7195,0.626,0.615162455,,
80,TRUE,53,0.001,Adam,50,0,0.756,0.631,0.623826715,,
